Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T030_001,SE_T030_002,SE_T030_003,PCT_SE_T030_002,PCT_SE_T030_003,SE_T033_001,SE_T033_002,SE_T033_003,SE_T033_004,SE_T033_005,SE_T033_006,SE_T033_007,PCT_SE_T033_002,PCT_SE_T033_003,PCT_SE_T033_004,PCT_SE_T033_005,PCT_SE_T033_006,PCT_SE_T033_007,SE_T057_001,SE_T083_001,SE_T093_001,SE_T099_001,SE_T099_002,SE_T099_003,SE_T099_004,SE_T099_005,SE_T099_006,SE_T099_007,SE_T099_008,PCT_SE_T099_002,PCT_SE_T099_003,PCT_SE_T099_004,PCT_SE_T099_005,PCT_SE_T099_006,PCT_SE_T099_007,PCT_SE_T099_008,SE_T104_001,SE_T106_001,SE_T114_001,SE_T114_002,SE_T114_003,PCT_SE_T114_002,PCT_SE_T114_003,SE_T115_001,SE_T115_002,SE_T115_003,PCT_SE_T115_002,PCT_SE_T115_003,SE_T116_001,SE_T116_002,SE_T116_003,PCT_SE_T116_002,PCT_SE_T116_003
"41001","05000US41001","Baker County, Oregon","Baker County, Oregon","OR","050","00","ACSSF","0000013",,,,,"41","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16126,906,188,718,20.75,79.25,13378,7389,0,7389,6557,832,5989,55.23,0,55.23,49.01,6.22,44.77,40989,22115,8812,6997,3524,1849,317,1223,0,84,0,50.36,26.43,4.53,17.48,0,1.2,0,602,542.100371747212,3230,1049,2181,32.48,67.52,9034,1791,7243,19.83,80.17,3467,314,3153,9.06,90.94
"41003","05000US41003","Benton County, Oregon","Benton County, Oregon","OR","050","00","ACSSF","0000014",,,,,"41","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84943,7636,178,7458,2.33,97.67,71636,43885,72,43813,40603,3210,27751,61.26,0.1,61.16,56.68,4.48,38.74,47716,26370,36097,33427,13487,17010,230,2421,11,153,115,40.35,50.89,0.69,7.24,0.03,0.46,0.34,757,809.014954714597,14686,2260,12426,15.39,84.61,55189,13936,41253,25.25,74.75,9842,542,9300,5.51,94.49
"41005","05000US41005","Clackamas County, Oregon","Clackamas County, Oregon","OR","050","00","ACSSF","0000015",,,,,"41","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373832,20510,1445,19065,7.05,92.95,295891,196449,137,196312,179274,17038,99442,66.39,0.05,66.35,60.59,5.76,33.61,63790,32382,156150,144588,70026,60291,4558,7997,31,1494,191,48.43,41.7,3.15,5.53,0.02,1.03,0.13,913,991.998975123451,88395,11362,77033,12.85,87.15,233769,21134,212635,9.04,90.96,49142,2816,46326,5.73,94.27
"41007","05000US41007","Clatsop County, Oregon","Clatsop County, Oregon","OR","050","00","ACSSF","0000016",,,,,"41","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36966,2155,74,2081,3.43,96.57,30444,19453,408,19045,17468,1577,10991,63.9,1.34,62.56,57.38,5.18,36.1,43670,25395,21461,15999,6661,6539,1039,1582,0,114,64,41.63,40.87,6.49,9.89,0,0.71,0.4,759,778.696158323632,7350,1721,5629,23.41,76.59,22598,2902,19696,12.84,87.16,6057,507,5550,8.37,91.63
"41009","05000US41009","Columbia County, Oregon","Columbia County, Oregon","OR","050","00","ACSSF","0000017",,,,,"41","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49247,2723,107,2616,3.93,96.07,38820,23957,8,23949,20958,2991,14863,61.71,0.02,61.69,53.99,7.7,38.29,56270,25440,20600,19173,6308,9683,682,2251,0,194,55,32.9,50.5,3.56,11.74,0,1.01,0.29,739,761.433063791554,11757,1855,9902,15.78,84.22,30593,3393,27200,11.09,88.91,6545,535,6010,8.17,91.83
"41011","05000US41011","Coos County, Oregon","Coos County, Oregon","OR","050","00","ACSSF","0000018",,,,,"41","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63108,3039,240,2799,7.9,92.1,52506,28616,208,28408,25235,3173,23890,54.5,0.4,54.1,48.06,6.04,45.5,37789,21771,30557,27077,1755,17116,1703,5401,29,957,116,6.48,63.21,6.29,19.95,0.11,3.53,0.43,690,690.987599645704,11791,2350,9441,19.93,80.07,36951,6478,30473,17.53,82.47,13116,1087,12029,8.29,91.71
"41013","05000US41013","Crook County, Oregon","Crook County, Oregon","OR","050","00","ACSSF","0000019",,,,,"41","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21356,1064,48,1016,4.51,95.49,17210,9741,0,9741,8329,1412,7469,56.6,0,56.6,48.4,8.2,43.4,45004,22043,10154,8741,2323,4359,461,1466,8,98,26,26.58,49.87,5.27,16.77,0.09,1.12,0.3,780,704.098014364174,4613,1219,3394,26.43,73.57,12431,1958,10473,15.75,84.25,4072,167,3905,4.1,95.9
"41015","05000US41015","Curry County, Oregon","Curry County, Oregon","OR","050","00","ACSSF","0000020",,,,,"41","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22373,936,52,884,5.56,94.44,19188,9758,9,9749,8863,886,9430,50.85,0.05,50.81,46.19,4.62,49.15,39787,24190,12576,10350,273,7799,175,1812,31,182,78,2.64,75.35,1.69,17.51,0.3,1.76,0.75,764,722.627490712597,3681,660,3021,17.93,82.07,12541,1970,10571,15.71,84.29,6023,531,5492,8.82,91.18
"41017","05000US41017","Deschutes County, Oregon","Deschutes County, Oregon","OR","050","00","ACSSF","0000021",,,,,"41","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157014,7678,445,7233,5.8,94.2,124927,80580,252,80328,71762,8566,44347,64.5,0.2,64.3,57.44,6.86,35.5,52962,27965,79401,63935,27119,29336,1139,5829,51,325,136,42.42,45.88,1.78,9.12,0.08,0.51,0.21,901,945.357751277683,35728,5708,30020,15.98,84.02,97629,10490,87139,10.74,89.26,22473,1612,20861,7.17,92.83
"41019","05000US41019","Douglas County, Oregon","Douglas County, Oregon","OR","050","00","ACSSF","0000022",,,,,"41","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107382,5456,334,5122,6.12,93.88,88059,48395,51,48344,42110,6234,39664,54.96,0.06,54.9,47.82,7.08,45.04,40501,21440,48600,43895,11462,22955,1292,7139,3,877,167,26.11,52.3,2.94,16.26,0.01,2,0.38,714,721.365571776156,21927,5390,16537,24.58,75.42,62667,9698,52969,15.48,84.52,21803,1928,19875,8.84,91.16
