Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,PCT_SE_T013_002,PCT_SE_T013_003,PCT_SE_T013_004,PCT_SE_T013_005,PCT_SE_T013_006,PCT_SE_T013_007,PCT_SE_T013_008,SE_T030_001,SE_T030_002,SE_T030_003,PCT_SE_T030_002,PCT_SE_T030_003,SE_T033_001,SE_T033_002,SE_T033_003,SE_T033_004,SE_T033_005,SE_T033_006,SE_T033_007,PCT_SE_T033_002,PCT_SE_T033_003,PCT_SE_T033_004,PCT_SE_T033_005,PCT_SE_T033_006,PCT_SE_T033_007,SE_T037_001,SE_T037_002,SE_T037_003,PCT_SE_T037_002,PCT_SE_T037_003,SE_T057_001,SE_T083_001,SE_T157_001,SE_T093_001,SE_T099_001,SE_T099_002,SE_T099_003,SE_T099_004,SE_T099_005,SE_T099_006,SE_T099_007,SE_T099_008,PCT_SE_T099_002,PCT_SE_T099_003,PCT_SE_T099_004,PCT_SE_T099_005,PCT_SE_T099_006,PCT_SE_T099_007,PCT_SE_T099_008,SE_T104_001,SE_T106_001,SE_T114_001,SE_T114_002,SE_T114_003,PCT_SE_T114_002,PCT_SE_T114_003,SE_T115_001,SE_T115_002,SE_T115_003,PCT_SE_T115_002,PCT_SE_T115_003,SE_T116_001,SE_T116_002,SE_T116_003,PCT_SE_T116_002,PCT_SE_T116_003,SE_T117_001,SE_T117_002,SE_T117_003,SE_T117_004,SE_T117_005,SE_T117_006,SE_T117_007,PCT_SE_T117_002,PCT_SE_T117_003,PCT_SE_T117_004,PCT_SE_T117_005,PCT_SE_T117_006,PCT_SE_T117_007
"41001","05000US41001","Baker County, Oregon","Baker County, Oregon","or","050","00","ACSSF","0000013",,,,,"41","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16030,16030,15148,65,240,124,43,83,327,94.5,0.41,1.5,0.77,0.27,0.52,2.04,589,32,557,5.43,94.57,13189,6879,9,6870,6265,605,6310,52.16,0.07,52.09,47.5,4.59,47.84,6870,6265,605,91.19,8.81,41722,24776,0.4462,8831,7011,3227,2024,204,1428,7,121,0,46.03,28.87,2.91,20.37,0.1,1.73,0,636,642.938596491228,3104,661,2443,21.3,78.7,8457,1355,7102,16.02,83.98,3943,323,3620,8.19,91.81,15504,820,711,808,1931,2082,9152,5.29,4.59,5.21,12.45,13.43,59.03
"41003","05000US41003","Benton County, Oregon","Benton County, Oregon","or","050","00","ACSSF","0000014",,,,,"41","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87455,87455,76207,860,572,5585,274,1066,2891,87.14,0.98,0.65,6.39,0.31,1.22,3.31,7573,59,7514,0.78,99.22,74608,44167,53,44114,40655,3459,30441,59.2,0.07,59.13,54.49,4.64,40.8,44114,40655,3459,92.16,7.84,52015,28986,0.4818,37270,34193,14450,16841,314,2194,53,219,122,42.26,49.25,0.92,6.42,0.16,0.64,0.36,893,973.127392017496,14610,2048,12562,14.02,85.98,55139,14784,40355,26.81,73.19,12420,833,11587,6.71,93.29,82169,9563,3766,4336,7263,5981,51260,11.64,4.58,5.28,8.84,7.28,62.38
"41005","05000US41005","Clackamas County, Oregon","Clackamas County, Oregon","or","050","00","ACSSF","0000015",,,,,"41","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394967,394967,351391,3604,2895,16002,1066,6738,13271,88.97,0.91,0.73,4.05,0.27,1.71,3.36,20371,778,19593,3.82,96.18,318432,206372,99,206273,192469,13804,112060,64.81,0.03,64.78,60.44,4.33,35.19,206273,192469,13804,93.31,6.69,68915,35506,0.4443,161005,151150,72806,64376,3303,9066,149,1146,304,48.17,42.59,2.19,6,0.1,0.76,0.2,1091,1142.68489771616,86273,9464,76809,10.97,89.03,242617,22544,220073,9.29,90.71,62990,4152,58838,6.59,93.41,391880,15931,8927,11302,23671,31907,300142,4.07,2.28,2.88,6.04,8.14,76.59
"41007","05000US41007","Clatsop County, Oregon","Clatsop County, Oregon","or","050","00","ACSSF","0000016",,,,,"41","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37660,37660,34102,290,265,422,75,783,1723,90.55,0.77,0.7,1.12,0.2,2.08,4.58,1801,183,1618,10.16,89.84,31142,18623,536,18087,16840,1247,12519,59.8,1.72,58.08,54.07,4,40.2,18087,16840,1247,93.11,6.89,47492,27071,0.4284,21869,15876,7365,5853,790,1709,0,94,65,46.39,36.87,4.98,10.76,0,0.59,0.41,872,893.612299889047,7254,1325,5929,18.27,81.73,22536,3410,19126,15.13,84.87,7164,452,6712,6.31,93.69,36954,1751,1619,1817,4409,4065,23293,4.74,4.38,4.92,11.93,11,63.03
"41009","05000US41009","Columbia County, Oregon","Columbia County, Oregon","or","050","00","ACSSF","0000017",,,,,"41","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49645,49645,46036,303,575,558,124,549,1500,92.73,0.61,1.16,1.12,0.25,1.11,3.02,2512,147,2365,5.85,94.15,40070,22811,5,22806,20840,1966,17259,56.93,0.01,56.92,52.01,4.91,43.07,22806,20840,1966,91.38,8.62,55146,27449,0.4377,20707,18941,6374,9705,411,2241,0,186,24,33.65,51.24,2.17,11.83,0,0.98,0.13,831,826.766635426429,10759,1781,8978,16.55,83.45,30022,4398,25624,14.65,85.35,8322,419,7903,5.03,94.97,49103,3439,1708,1451,4929,4869,32707,7,3.48,2.96,10.04,9.92,66.61
"41011","05000US41011","Coos County, Oregon","Coos County, Oregon","or","050","00","ACSSF","0000018",,,,,"41","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62944,62944,55775,824,1447,758,93,1159,2888,88.61,1.31,2.3,1.2,0.15,1.84,4.59,2683,183,2500,6.82,93.18,52658,26589,225,26364,23537,2827,26069,50.49,0.43,50.07,44.7,5.37,49.51,26364,23537,2827,89.28,10.72,39110,24261,0.4798,30481,25755,2208,17051,1071,4737,117,480,91,8.57,66.2,4.16,18.39,0.45,1.86,0.35,727,744.086140254003,11390,2869,8521,25.19,74.81,35704,6571,29133,18.4,81.6,14870,1773,13097,11.92,88.08,61964,5297,2209,3707,8608,7203,34940,8.55,3.56,5.98,13.89,11.62,56.39
"41013","05000US41013","Crook County, Oregon","Crook County, Oregon","or","050","00","ACSSF","0000019",,,,,"41","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21334,21334,19606,98,238,34,14,662,682,91.9,0.46,1.12,0.16,0.07,3.1,3.2,1012,107,905,10.57,89.43,17697,9371,0,9371,8310,1061,8326,52.95,0,52.95,46.96,6,47.05,9371,8310,1061,88.68,11.32,39583,22346,0.4146,10339,9155,2620,4569,112,1709,0,132,13,28.62,49.91,1.22,18.67,0,1.44,0.14,793,704.332511447693,4146,1046,3100,25.23,74.77,11961,2209,9752,18.47,81.53,5108,502,4606,9.83,90.17,21215,1466,985,1306,2731,3137,11590,6.91,4.64,6.16,12.87,14.79,54.63
"41015","05000US41015","Curry County, Oregon","Curry County, Oregon","or","050","00","ACSSF","0000020",,,,,"41","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22364,22364,20484,87,442,128,5,224,994,91.59,0.39,1.98,0.57,0.02,1,4.44,640,20,620,3.12,96.88,19373,8589,23,8566,7626,940,10784,44.33,0.12,44.22,39.36,4.85,55.67,8566,7626,940,89.03,10.97,38661,24908,0.4314,12621,10396,469,8358,57,1372,71,69,0,4.51,80.4,0.55,13.2,0.68,0.66,0,846,831.389753750354,3400,502,2898,14.76,85.24,11811,2103,9708,17.81,82.19,6997,777,6220,11.1,88.9,22208,1237,1031,1114,2784,3092,12950,5.57,4.64,5.02,12.54,13.92,58.31
"41017","05000US41017","Deschutes County, Oregon","Deschutes County, Oregon","or","050","00","ACSSF","0000021",,,,,"41","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170813,170813,159574,824,854,1742,177,2618,5024,93.42,0.48,0.5,1.02,0.1,1.53,2.94,7185,291,6894,4.05,95.95,138082,84836,33,84803,78810,5993,53246,61.44,0.02,61.41,57.07,4.34,38.56,84803,78810,5993,92.93,7.07,54211,30177,0.4616,82918,67880,27863,31561,734,6993,42,520,167,41.05,46.5,1.08,10.3,0.06,0.77,0.25,981,1029.51584843213,36232,6632,29600,18.3,81.7,102665,14421,88244,14.05,85.95,30873,2569,28304,8.32,91.68,169770,9866,5698,8058,14933,15261,115954,5.81,3.36,4.75,8.8,8.99,68.3
"41019","05000US41019","Douglas County, Oregon","Douglas County, Oregon","or","050","00","ACSSF","0000022",,,,,"41","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107375,107375,99671,380,1309,1012,95,625,4283,92.83,0.35,1.22,0.94,0.09,0.58,3.99,4873,446,4427,9.15,90.85,89089,44849,56,44793,39904,4889,44240,50.34,0.06,50.28,44.79,5.49,49.66,44793,39904,4889,89.09,10.91,42052,23608,0.4417,49082,43937,11377,23719,854,6786,9,973,219,25.89,53.98,1.94,15.44,0.02,2.21,0.5,763,761.674503473928,20218,5792,14426,28.65,71.35,60567,11837,48730,19.54,80.46,25079,2072,23007,8.26,91.74,105864,8275,4506,6920,10951,13717,61495,7.82,4.26,6.54,10.34,12.96,58.09
