Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,PCT_SE_T013_002,PCT_SE_T013_003,PCT_SE_T013_004,PCT_SE_T013_005,PCT_SE_T013_006,PCT_SE_T013_007,PCT_SE_T013_008,SE_T030_001,SE_T030_002,SE_T030_003,PCT_SE_T030_002,PCT_SE_T030_003,SE_T033_001,SE_T033_002,SE_T033_003,SE_T033_004,SE_T033_005,SE_T033_006,SE_T033_007,PCT_SE_T033_002,PCT_SE_T033_003,PCT_SE_T033_004,PCT_SE_T033_005,PCT_SE_T033_006,PCT_SE_T033_007,SE_T037_001,SE_T037_002,SE_T037_003,PCT_SE_T037_002,PCT_SE_T037_003,SE_T057_001,SE_T083_001,SE_T157_001,SE_T093_001,SE_T099_001,SE_T099_002,SE_T099_003,SE_T099_004,SE_T099_005,SE_T099_006,SE_T099_007,SE_T099_008,PCT_SE_T099_002,PCT_SE_T099_003,PCT_SE_T099_004,PCT_SE_T099_005,PCT_SE_T099_006,PCT_SE_T099_007,PCT_SE_T099_008,SE_T104_001,SE_T106_001,SE_T114_001,SE_T114_002,SE_T114_003,PCT_SE_T114_002,PCT_SE_T114_003,SE_T115_001,SE_T115_002,SE_T115_003,PCT_SE_T115_002,PCT_SE_T115_003,SE_T116_001,SE_T116_002,SE_T116_003,PCT_SE_T116_002,PCT_SE_T116_003,SE_T117_001,SE_T117_002,SE_T117_003,SE_T117_004,SE_T117_005,SE_T117_006,SE_T117_007,PCT_SE_T117_002,PCT_SE_T117_003,PCT_SE_T117_004,PCT_SE_T117_005,PCT_SE_T117_006,PCT_SE_T117_007
"01","04000US01","Alabama","Alabama","al","040","00","ACSSF","0000001",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4841164,4841164,3325037,1282053,23919,60744,2008,61991,85412,68.68,26.48,0.49,1.25,0.04,1.28,1.76,260405,12114,248291,4.65,95.35,3864302,2238654,12150,2226504,2042025,184479,1625648,57.93,0.31,57.62,52.84,4.77,42.07,2226504,2042025,184479,91.71,8.29,44758,24736,0.4769,2209335,1851061,641721,1177271,3393,20135,119,1564,6858,34.67,63.6,0.18,1.09,0.01,0.08,0.37,728,690.779220111207,1090244,289382,800862,26.54,73.46,2907950,502942,2405008,17.3,82.7,722398,76342,646056,10.57,89.43,4720592,381490,227622,259554,513115,470184,2868627,8.08,4.82,5.5,10.87,9.96,60.77
"02","04000US02","Alaska","Alaska","ak","040","00","ACSSF","0000001",,,,,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736855,736855,483518,24443,103574,44218,8862,9900,62340,65.62,3.32,14.06,6,1.2,1.34,8.46,38544,1640,36904,4.25,95.75,568732,400475,16382,384093,353954,30139,168257,70.42,2.88,67.53,62.24,5.3,29.58,384093,353954,30139,92.15,7.85,74444,34191,0.4174,309171,250235,125773,29626,74327,17064,13,2161,1271,50.26,11.84,29.7,6.82,0.01,0.86,0.51,1173,1160.51230725237,184156,26482,157674,14.38,85.62,466724,43294,423430,9.28,90.72,68184,3050,65134,4.47,95.53,719064,32063,18394,22369,55006,54681,536551,4.46,2.56,3.11,7.65,7.6,74.62
"04","04000US04","Arizona","Arizona","az","040","00","ACSSF","0000001",,,,,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6728577,6728577,5235158,287110,296732,205229,12863,468906,222579,77.8,4.27,4.41,3.05,0.19,6.97,3.31,367080,20111,346969,5.48,94.52,5290839,3146717,17373,3129344,2879372,249972,2144122,59.47,0.33,59.15,54.42,4.72,40.53,3129344,2879372,249972,92.01,7.99,51340,26686,0.4682,2913541,2448919,885985,1469271,1899,48703,7302,5282,30477,36.18,60,0.08,1.99,0.3,0.22,1.24,937,961.72461209477,1592547,403560,1188987,25.34,74.66,3922559,667596,3254963,17.02,82.98,1058417,94480,963937,8.93,91.07,6573523,550653,287606,327377,680394,658105,4069388,8.38,4.38,4.98,10.35,10.01,61.91
"05","04000US05","Arkansas","Arkansas","ar","040","00","ACSSF","0000001",,,,,"05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2968472,2968472,2307136,460638,18697,41539,6738,67645,66079,77.72,15.52,0.63,1.4,0.23,2.28,2.23,160197,7472,152725,4.66,95.34,2339307,1364187,4445,1359742,1266552,93190,975120,58.32,0.19,58.13,54.14,3.98,41.68,1359742,1266552,93190,93.15,6.85,42336,23401,0.4708,1341391,1141480,532064,554824,1203,46827,181,3647,2734,46.61,48.61,0.11,4.1,0.02,0.32,0.24,689,654.771597947085,694104,186130,507974,26.82,73.18,1738141,309019,1429122,17.78,82.22,449159,47282,401877,10.53,89.47,2881404,226272,141891,174268,345445,324071,1669457,7.85,4.92,6.05,11.99,11.25,57.94
"06","04000US06","California","California","ca","040","00","ACSSF","0000001",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38654206,38654206,23680584,2261835,285512,5354608,150908,5133600,1787159,61.26,5.85,0.74,13.85,0.39,13.28,4.62,2120314,66313,2054001,3.13,96.87,30565746,19391320,130452,19260868,17577142,1683726,11174426,63.44,0.43,63.01,57.51,5.51,36.56,19260868,17577142,1683726,91.26,8.74,63783,31458,0.488,13911737,12807387,8677423,3384008,32082,214482,35062,44929,419401,67.75,26.42,0.25,1.67,0.27,0.35,3.27,1297,1366.69102711972,9004598,1974976,7029622,21.93,78.07,24027673,3526901,20500772,14.68,85.32,4880873,502380,4378493,10.29,89.71,37913144,2600145,1459870,1944242,3793052,3549192,24566643,6.86,3.85,5.13,10,9.36,64.8
"08","04000US08","Colorado","Colorado","co","040","00","ACSSF","0000001",,,,,"08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5359295,5359295,4517058,219349,50160,157523,7441,224029,183735,84.28,4.09,0.94,2.94,0.14,4.18,3.43,274541,12600,261941,4.59,95.41,4245559,2897359,33135,2864224,2692529,171695,1348200,68.24,0.78,67.46,63.42,4.04,31.76,2864224,2692529,171695,94.01,5.99,62520,33230,0.459,2284863,2051616,1541675,442554,1955,41919,3985,12325,7203,75.14,21.57,0.1,2.04,0.19,0.6,0.35,1057,1093.64089417359,1229418,193212,1036206,15.72,84.28,3348629,395793,2952836,11.82,88.18,663010,48933,614077,7.38,92.62,5241057,283254,154643,200041,426187,434510,3742422,5.4,2.95,3.82,8.13,8.29,71.41
"09","04000US09","Connecticut","Connecticut","ct","040","00","ACSSF","0000001",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3588570,3588570,2768080,372696,9399,152782,1031,177594,106988,77.14,10.39,0.26,4.26,0.03,4.95,2.98,203789,5708,198081,2.8,97.2,2911925,1957060,8367,1948693,1793688,155005,954865,67.21,0.29,66.92,61.6,5.32,32.79,1948693,1793688,155005,92.05,7.95,71755,39906,0.4947,1493798,1354713,512493,214951,581382,31062,658,9815,4352,37.83,15.87,42.92,2.29,0.05,0.72,0.32,1094,1114.81088692821,763850,107690,656160,14.1,85.9,2182409,214771,1967638,9.84,90.16,533413,38003,495410,7.12,92.88,3479672,167970,85468,107026,219339,232317,2667552,4.83,2.46,3.08,6.3,6.68,76.66
"10","04000US10","Delaware","Delaware","de","040","00","ACSSF","0000001",,,,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934695,934695,647002,203027,3494,34428,461,20452,25831,69.22,21.72,0.37,3.68,0.05,2.19,2.76,48375,2242,46133,4.63,95.37,753039,474821,2860,471961,438292,33669,278218,63.05,0.38,62.67,58.2,4.47,36.95,471961,438292,33669,92.87,7.13,61017,31118,0.4488,417927,348051,179711,113337,47102,4159,215,2078,1449,51.63,32.56,13.53,1.19,0.06,0.6,0.42,1039,1017.96936040589,200766,35389,165377,17.63,82.37,558339,63527,494812,11.38,88.62,149868,10532,139336,7.03,92.97,908973,52305,27961,29182,70680,74457,654388,5.75,3.08,3.21,7.78,8.19,71.99
"11","04000US11","District of Columbia","District of Columbia","dc","040","00","ACSSF","0000001",,,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659009,659009,266035,318598,2174,24036,271,29650,18245,40.37,48.35,0.33,3.65,0.04,4.5,2.77,32931,1208,31723,3.67,96.33,554780,385056,3505,381551,348225,33326,169724,69.41,0.63,68.78,62.77,6.01,30.59,381551,348225,33326,91.27,8.73,72935,48781,0.5334,306711,276546,156963,109239,5338,64,196,1407,3339,56.76,39.5,1.93,0.02,0.07,0.51,1.21,1362,1453.68270744596,112812,29114,83698,25.81,74.19,439450,72467,366983,16.49,83.51,72692,10479,62213,14.42,85.58,624954,61318,24658,26084,47978,37463,427453,9.81,3.95,4.17,7.68,5.99,68.4
"12","04000US12","Florida","Florida","fl","040","00","ACSSF","0000001",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19934451,19934451,15130748,3216994,52904,521272,11288,505877,495368,75.9,16.14,0.27,2.61,0.06,2.54,2.48,946962,45128,901834,4.77,95.23,16339299,9613594,56151,9557443,8755427,802016,6725705,58.84,0.34,58.49,53.59,4.91,41.16,9557443,8755427,802016,91.61,8.39,48900,27598,0.4852,9152815,7393262,406564,6823283,12499,14059,2516,3471,130870,5.5,92.29,0.17,0.19,0.03,0.05,1.77,1032,1063.3533670358,4000918,933624,3067294,23.34,76.66,11783535,1818564,9964971,15.43,84.57,3729881,387070,3342811,10.38,89.62,19514334,1371825,805493,961940,2100350,2032353,12242373,7.03,4.13,4.93,10.76,10.41,62.74
